favorite_Score,favorite_OffensiveYards,favorite_OffensiveYardsPerPlay,favorite_RushingYards,favorite_RushingYardsPerAttempt,favorite_PassingYards,favorite_PassingYardsPerAttempt,favorite_PassingInterceptionPercentage,favorite_TimesSackedPercentage,favorite_OpponentScore,favorite_OpponentOffensiveYards,favorite_OpponentOffensiveYardsPerPlay,favorite_OpponentRushingYards,favorite_OpponentRushingYardsPerAttempt,favorite_OpponentPassingYards,favorite_OpponentPassingYardsPerAttempt,favorite_OpponentPassingInterceptionPercentage,favorite_OpponentTimesSackedPercentage,favorite_PointDifferential,favorite_TurnoverDifferential,favorite_PenaltyYardDifferential,favorite_TimeOfPossession,underdog_Score,underdog_OffensiveYards,underdog_OffensiveYardsPerPlay,underdog_RushingYards,underdog_RushingYardsPerAttempt,underdog_PassingYards,underdog_PassingYardsPerAttempt,underdog_PassingInterceptionPercentage,underdog_TimesSackedPercentage,underdog_OpponentScore,underdog_OpponentOffensiveYards,underdog_OpponentOffensiveYardsPerPlay,underdog_OpponentRushingYards,underdog_OpponentRushingYardsPerAttempt,underdog_OpponentPassingYards,underdog_OpponentPassingYardsPerAttempt,underdog_OpponentPassingInterceptionPercentage,underdog_OpponentTimesSackedPercentage,underdog_PointDifferential,underdog_TurnoverDifferential,underdog_PenaltyYardDifferential,underdog_TimeOfPossession,did_cover
30,26,20,12,12,27,25,32,20,28,11,13,11,4,17,24,27,28,29,31,28,12,31,30,25,19,2,28,30,19,32,30,31,26,31,28,21,28,23,29,32,29,3,30,True
5,5,4,2,3,23,4,3,14,5,14,13,1,8,26,12,30,18,3,9,24,2,16,22,28,11,18,24,28,17,9,12,13,19,15,16,13,19,7,14,9,7,25,1,True
22,27,25,27,28,21,19,11,25,4,4,1,28,18,1,1,14,4,9,13,15,27,9,14,12,26,26,8,8,30,16,29,16,11,10,6,20,19,1,15,22,26,13,15,True
28,29,31,8,18,29,32,24,10,11,1,5,12,12,2,3,19,17,26,26,12,4,20,21,16,30,27,11,14,10,17,13,18,26,18,20,19,24,23,30,21,20,9,22,True
13,20,16,15,16,19,15,8,14,7,24,13,26,20,18,12,4,30,4,1,20,13,8,10,12,23,20,5,8,21,28,22,29,30,25,30,27,24,30,18,16,24,1,8,True
18,12,12,25,24,10,6,14,27,3,5,3,7,1,8,16,20,2,6,16,19,24,2,1,3,16,12,1,4,15,5,31,27,30,14,15,32,30,27,27,17,23,23,5,False
18,18,21,24,28,16,15,26,17,15,23,24,22,20,22,27,1,7,23,13,6,5,7,6,9,6,10,13,15,3,1,20,26,32,23,25,24,32,4,32,11,1,29,3,False
23,28,28,32,32,18,19,2,23,6,3,5,20,16,3,2,12,6,15,4,21,13,28,15,5,17,4,14,10,28,8,24,15,13,27,20,7,17,27,7,28,31,17,31,False
1,2,1,5,4,3,1,5,24,27,25,19,17,25,28,11,23,24,2,4,7,20,18,18,21,24,28,16,15,26,17,15,23,24,22,20,22,27,1,7,23,13,6,5,True
10,7,7,14,12,5,10,19,2,10,12,13,13,18,16,12,16,10,5,9,26,11,21,17,21,28,20,12,26,18,7,9,7,8,5,4,9,6,1,24,13,9,30,10,False
5,5,4,2,3,23,4,3,14,5,14,13,1,8,26,12,30,18,3,9,24,2,31,30,25,19,2,28,30,19,32,30,31,26,31,28,21,28,23,29,32,29,3,30,True
4,8,9,20,7,7,15,5,12,21,22,26,8,12,31,30,4,7,8,6,5,17,8,10,12,23,20,5,8,21,28,22,29,30,25,30,27,24,30,18,16,24,1,8,False
13,20,16,15,16,19,15,8,14,7,24,13,26,20,18,12,4,30,4,1,20,13,25,23,25,22,16,20,26,21,10,25,6,3,19,6,5,5,32,15,27,30,32,26,False
15,19,21,10,20,21,19,28,20,26,21,19,6,8,29,21,9,2,25,21,13,9,32,32,32,31,31,31,31,31,29,23,9,8,16,8,10,6,26,26,30,28,27,25,False
17,24,7,9,7,26,6,26,17,18,29,19,30,31,15,12,10,21,24,13,31,28,30,26,20,12,12,27,25,32,20,28,11,13,11,4,17,24,27,28,29,31,28,12,True
23,28,28,32,32,18,19,2,23,6,3,5,20,16,3,2,12,6,15,4,21,13,20,21,16,30,27,11,14,10,17,13,18,26,18,20,19,24,23,30,21,20,9,22,False
26,25,21,29,30,17,19,24,3,2,10,5,3,2,23,6,10,21,12,21,16,29,16,22,28,11,18,24,28,17,9,12,13,19,15,16,13,19,7,14,9,7,25,1,True
7,6,9,6,10,13,15,3,1,20,26,32,23,25,24,32,4,32,11,1,29,3,22,27,25,27,28,21,19,11,25,4,4,1,28,18,1,1,14,4,9,13,15,27,True
9,14,12,26,26,8,8,30,16,29,16,11,10,6,20,19,1,15,22,26,13,15,14,11,9,3,4,25,12,15,12,16,20,13,2,12,30,17,21,12,20,17,4,16,True
2,1,3,16,12,1,4,15,5,31,27,30,14,15,32,30,27,27,17,23,23,5,27,31,30,4,10,32,28,12,30,32,32,26,32,31,14,28,21,12,31,24,18,32,True
18,12,12,25,24,10,6,14,27,3,5,3,7,1,8,16,20,2,6,16,19,24,10,16,12,1,1,30,23,8,31,16,19,19,29,28,6,21,15,4,14,7,22,19,True
21,17,21,28,20,12,26,18,7,9,7,8,5,4,9,6,1,24,13,9,30,10,31,30,25,19,2,28,30,19,32,30,31,26,31,28,21,28,23,29,32,29,3,30,True
6,9,18,18,12,9,23,21,20,14,2,2,9,2,4,3,12,1,7,17,8,7,27,31,30,4,10,32,28,12,30,32,32,26,32,31,14,28,21,12,31,24,18,32,False
15,19,21,10,20,21,19,28,20,26,21,19,6,8,29,21,9,2,25,21,13,9,13,20,16,15,16,19,15,8,14,7,24,13,26,20,18,12,4,30,4,1,20,13,False
25,23,25,22,16,20,26,21,10,25,6,3,19,6,5,5,32,15,27,30,32,26,28,29,31,8,18,29,32,24,10,11,1,5,12,12,2,3,19,17,26,26,12,4,False
3,4,5,7,24,4,2,1,6,1,8,8,3,8,12,6,16,18,1,3,11,18,18,12,12,25,24,10,6,14,27,3,5,3,7,1,8,16,20,2,6,16,19,24,False
2,1,3,16,12,1,4,15,5,31,27,30,14,15,32,30,27,27,17,23,23,5,22,27,25,27,28,21,19,11,25,4,4,1,28,18,1,1,14,4,9,13,15,27,False
32,32,32,31,31,31,31,31,29,23,9,8,16,8,10,6,26,26,30,28,27,25,30,26,20,12,12,27,25,32,20,28,11,13,11,4,17,24,27,28,29,31,28,12,True
16,22,28,11,18,24,28,17,9,12,13,19,15,16,13,19,7,14,9,7,25,1,1,2,1,5,4,3,1,5,24,27,25,19,17,25,28,11,23,24,2,4,7,20,True
10,7,7,14,12,5,10,19,2,10,12,13,13,18,16,12,16,10,5,9,26,11,5,5,4,2,3,23,4,3,14,5,14,13,1,8,26,12,30,18,3,9,24,2,False
9,14,12,26,26,8,8,30,16,29,16,11,10,6,20,19,1,15,22,26,13,15,17,24,7,9,7,26,6,26,17,18,29,19,30,31,15,12,10,21,24,13,31,28,False
28,15,5,17,4,14,10,28,8,24,15,13,27,20,7,17,27,7,28,31,17,31,18,18,21,24,28,16,15,26,17,15,23,24,22,20,22,27,1,7,23,13,6,5,False
4,8,9,20,7,7,15,5,12,21,22,26,8,12,31,30,4,7,8,6,5,17,14,11,9,3,4,25,12,15,12,16,20,13,2,12,30,17,21,12,20,17,4,16,False
12,3,2,21,7,2,2,12,4,19,28,24,24,25,25,21,16,10,18,17,10,23,23,28,28,32,32,18,19,2,23,6,3,5,20,16,3,2,12,6,15,4,21,13,True
15,19,21,10,20,21,19,28,20,26,21,19,6,8,29,21,9,2,25,21,13,9,2,1,3,16,12,1,4,15,5,31,27,30,14,15,32,30,27,27,17,23,23,5,False
24,13,18,13,20,15,12,7,26,8,17,11,21,20,11,6,7,21,19,12,2,21,10,16,12,1,1,30,23,8,31,16,19,19,29,28,6,21,15,4,14,7,22,19,False
10,7,7,14,12,5,10,19,2,10,12,13,13,18,16,12,16,10,5,9,26,11,31,30,25,19,2,28,30,19,32,30,31,26,31,28,21,28,23,29,32,29,3,30,True
5,5,4,2,3,23,4,3,14,5,14,13,1,8,26,12,30,18,3,9,24,2,21,17,21,28,20,12,26,18,7,9,7,8,5,4,9,6,1,24,13,9,30,10,True
20,21,16,30,27,11,14,10,17,13,18,26,18,20,19,24,23,30,21,20,9,22,25,23,25,22,16,20,26,21,10,25,6,3,19,6,5,5,32,15,27,30,32,26,True
8,10,12,23,20,5,8,21,28,22,29,30,25,30,27,24,30,18,16,24,1,8,14,11,9,3,4,25,12,15,12,16,20,13,2,12,30,17,21,12,20,17,4,16,True
13,20,16,15,16,19,15,8,14,7,24,13,26,20,18,12,4,30,4,1,20,13,18,18,21,24,28,16,15,26,17,15,23,24,22,20,22,27,1,7,23,13,6,5,False
17,24,7,9,7,26,6,26,17,18,29,19,30,31,15,12,10,21,24,13,31,28,32,32,32,31,31,31,31,31,29,23,9,8,16,8,10,6,26,26,30,28,27,25,True
23,28,28,32,32,18,19,2,23,6,3,5,20,16,3,2,12,6,15,4,21,13,6,9,18,18,12,9,23,21,20,14,2,2,9,2,4,3,12,1,7,17,8,7,True
26,25,21,29,30,17,19,24,3,2,10,5,3,2,23,6,10,21,12,21,16,29,28,15,5,17,4,14,10,28,8,24,15,13,27,20,7,17,27,7,28,31,17,31,False
3,4,5,7,24,4,2,1,6,1,8,8,3,8,12,6,16,18,1,3,11,18,27,31,30,4,10,32,28,12,30,32,32,26,32,31,14,28,21,12,31,24,18,32,True
18,12,12,25,24,10,6,14,27,3,5,3,7,1,8,16,20,2,6,16,19,24,16,22,28,11,18,24,28,17,9,12,13,19,15,16,13,19,7,14,9,7,25,1,True
12,3,2,21,7,2,2,12,4,19,28,24,24,25,25,21,16,10,18,17,10,23,4,8,9,20,7,7,15,5,12,21,22,26,8,12,31,30,4,7,8,6,5,17,True
7,6,9,6,10,13,15,3,1,20,26,32,23,25,24,32,4,32,11,1,29,3,28,29,31,8,18,29,32,24,10,11,1,5,12,12,2,3,19,17,26,26,12,4,True
5,5,4,2,3,23,4,3,14,5,14,13,1,8,26,12,30,18,3,9,24,2,12,3,2,21,7,2,2,12,4,19,28,24,24,25,25,21,16,10,18,17,10,23,False
20,21,16,30,27,11,14,10,17,13,18,26,18,20,19,24,23,30,21,20,9,22,23,28,28,32,32,18,19,2,23,6,3,5,20,16,3,2,12,6,15,4,21,13,True
10,7,7,14,12,5,10,19,2,10,12,13,13,18,16,12,16,10,5,9,26,11,8,10,12,23,20,5,8,21,28,22,29,30,25,30,27,24,30,18,16,24,1,8,True
1,2,1,5,4,3,1,5,24,27,25,19,17,25,28,11,23,24,2,4,7,20,6,9,18,18,12,9,23,21,20,14,2,2,9,2,4,3,12,1,7,17,8,7,True
21,17,21,28,20,12,26,18,7,9,7,8,5,4,9,6,1,24,13,9,30,10,24,13,18,13,20,15,12,7,26,8,17,11,21,20,11,6,7,21,19,12,2,21,True
10,16,12,1,1,30,23,8,31,16,19,19,29,28,6,21,15,4,14,7,22,19,25,23,25,22,16,20,26,21,10,25,6,3,19,6,5,5,32,15,27,30,32,26,False
14,11,9,3,4,25,12,15,12,16,20,13,2,12,30,17,21,12,20,17,4,16,28,15,5,17,4,14,10,28,8,24,15,13,27,20,7,17,27,7,28,31,17,31,False
26,25,21,29,30,17,19,24,3,2,10,5,3,2,23,6,10,21,12,21,16,29,31,30,25,19,2,28,30,19,32,30,31,26,31,28,21,28,23,29,32,29,3,30,True
22,27,25,27,28,21,19,11,25,4,4,1,28,18,1,1,14,4,9,13,15,27,13,20,16,15,16,19,15,8,14,7,24,13,26,20,18,12,4,30,4,1,20,13,False
9,14,12,26,26,8,8,30,16,29,16,11,10,6,20,19,1,15,22,26,13,15,28,29,31,8,18,29,32,24,10,11,1,5,12,12,2,3,19,17,26,26,12,4,True
17,24,7,9,7,26,6,26,17,18,29,19,30,31,15,12,10,21,24,13,31,28,27,31,30,4,10,32,28,12,30,32,32,26,32,31,14,28,21,12,31,24,18,32,False
2,1,3,16,12,1,4,15,5,31,27,30,14,15,32,30,27,27,17,23,23,5,32,32,32,31,31,31,31,31,29,23,9,8,16,8,10,6,26,26,30,28,27,25,True
3,4,5,7,24,4,2,1,6,1,8,8,3,8,12,6,16,18,1,3,11,18,30,26,20,12,12,27,25,32,20,28,11,13,11,4,17,24,27,28,29,31,28,12,False
7,6,9,6,10,13,15,3,1,20,26,32,23,25,24,32,4,32,11,1,29,3,15,19,21,10,20,21,19,28,20,26,21,19,6,8,29,21,9,2,25,21,13,9,False
18,12,12,25,24,10,6,14,27,3,5,3,7,1,8,16,20,2,6,16,19,24,18,18,21,24,28,16,15,26,17,15,23,24,22,20,22,27,1,7,23,13,6,5,False
16,22,28,11,18,24,28,17,9,12,13,19,15,16,13,19,7,14,9,7,25,1,4,8,9,20,7,7,15,5,12,21,22,26,8,12,31,30,4,7,8,6,5,17,False
5,5,4,2,3,23,4,3,14,5,14,13,1,8,26,12,30,18,3,9,24,2,23,28,28,32,32,18,19,2,23,6,3,5,20,16,3,2,12,6,15,4,21,13,False
6,9,18,18,12,9,23,21,20,14,2,2,9,2,4,3,12,1,7,17,8,7,12,3,2,21,7,2,2,12,4,19,28,24,24,25,25,21,16,10,18,17,10,23,True
1,2,1,5,4,3,1,5,24,27,25,19,17,25,28,11,23,24,2,4,7,20,13,20,16,15,16,19,15,8,14,7,24,13,26,20,18,12,4,30,4,1,20,13,False
21,17,21,28,20,12,26,18,7,9,7,8,5,4,9,6,1,24,13,9,30,10,17,24,7,9,7,26,6,26,17,18,29,19,30,31,15,12,10,21,24,13,31,28,True
27,31,30,4,10,32,28,12,30,32,32,26,32,31,14,28,21,12,31,24,18,32,28,15,5,17,4,14,10,28,8,24,15,13,27,20,7,17,27,7,28,31,17,31,False
24,13,18,13,20,15,12,7,26,8,17,11,21,20,11,6,7,21,19,12,2,21,16,22,28,11,18,24,28,17,9,12,13,19,15,16,13,19,7,14,9,7,25,1,True
4,8,9,20,7,7,15,5,12,21,22,26,8,12,31,30,4,7,8,6,5,17,28,29,31,8,18,29,32,24,10,11,1,5,12,12,2,3,19,17,26,26,12,4,True
22,27,25,27,28,21,19,11,25,4,4,1,28,18,1,1,14,4,9,13,15,27,25,23,25,22,16,20,26,21,10,25,6,3,19,6,5,5,32,15,27,30,32,26,True
3,4,5,7,24,4,2,1,6,1,8,8,3,8,12,6,16,18,1,3,11,18,32,32,32,31,31,31,31,31,29,23,9,8,16,8,10,6,26,26,30,28,27,25,True
2,1,3,16,12,1,4,15,5,31,27,30,14,15,32,30,27,27,17,23,23,5,20,21,16,30,27,11,14,10,17,13,18,26,18,20,19,24,23,30,21,20,9,22,False
7,6,9,6,10,13,15,3,1,20,26,32,23,25,24,32,4,32,11,1,29,3,10,16,12,1,1,30,23,8,31,16,19,19,29,28,6,21,15,4,14,7,22,19,True
10,7,7,14,12,5,10,19,2,10,12,13,13,18,16,12,16,10,5,9,26,11,26,25,21,29,30,17,19,24,3,2,10,5,3,2,23,6,10,21,12,21,16,29,True
9,14,12,26,26,8,8,30,16,29,16,11,10,6,20,19,1,15,22,26,13,15,18,18,21,24,28,16,15,26,17,15,23,24,22,20,22,27,1,7,23,13,6,5,False
18,12,12,25,24,10,6,14,27,3,5,3,7,1,8,16,20,2,6,16,19,24,15,19,21,10,20,21,19,28,20,26,21,19,6,8,29,21,9,2,25,21,13,9,True
30,26,20,12,12,27,25,32,20,28,11,13,11,4,17,24,27,28,29,31,28,12,8,10,12,23,20,5,8,21,28,22,29,30,25,30,27,24,30,18,16,24,1,8,False
13,20,16,15,16,19,15,8,14,7,24,13,26,20,18,12,4,30,4,1,20,13,7,6,9,6,10,13,15,3,1,20,26,32,23,25,24,32,4,32,11,1,29,3,True
10,7,7,14,12,5,10,19,2,10,12,13,13,18,16,12,16,10,5,9,26,11,10,16,12,1,1,30,23,8,31,16,19,19,29,28,6,21,15,4,14,7,22,19,True
15,19,21,10,20,21,19,28,20,26,21,19,6,8,29,21,9,2,25,21,13,9,9,14,12,26,26,8,8,30,16,29,16,11,10,6,20,19,1,15,22,26,13,15,True
24,13,18,13,20,15,12,7,26,8,17,11,21,20,11,6,7,21,19,12,2,21,31,30,25,19,2,28,30,19,32,30,31,26,31,28,21,28,23,29,32,29,3,30,True
20,21,16,30,27,11,14,10,17,13,18,26,18,20,19,24,23,30,21,20,9,22,28,15,5,17,4,14,10,28,8,24,15,13,27,20,7,17,27,7,28,31,17,31,False
18,12,12,25,24,10,6,14,27,3,5,3,7,1,8,16,20,2,6,16,19,24,4,8,9,20,7,7,15,5,12,21,22,26,8,12,31,30,4,7,8,6,5,17,False
8,10,12,23,20,5,8,21,28,22,29,30,25,30,27,24,30,18,16,24,1,8,28,29,31,8,18,29,32,24,10,11,1,5,12,12,2,3,19,17,26,26,12,4,False
23,28,28,32,32,18,19,2,23,6,3,5,20,16,3,2,12,6,15,4,21,13,25,23,25,22,16,20,26,21,10,25,6,3,19,6,5,5,32,15,27,30,32,26,True
1,2,1,5,4,3,1,5,24,27,25,19,17,25,28,11,23,24,2,4,7,20,32,32,32,31,31,31,31,31,29,23,9,8,16,8,10,6,26,26,30,28,27,25,True
6,9,18,18,12,9,23,21,20,14,2,2,9,2,4,3,12,1,7,17,8,7,17,24,7,9,7,26,6,26,17,18,29,19,30,31,15,12,10,21,24,13,31,28,False
5,5,4,2,3,23,4,3,14,5,14,13,1,8,26,12,30,18,3,9,24,2,26,25,21,29,30,17,19,24,3,2,10,5,3,2,23,6,10,21,12,21,16,29,False
12,3,2,21,7,2,2,12,4,19,28,24,24,25,25,21,16,10,18,17,10,23,16,22,28,11,18,24,28,17,9,12,13,19,15,16,13,19,7,14,9,7,25,1,True
27,31,30,4,10,32,28,12,30,32,32,26,32,31,14,28,21,12,31,24,18,32,30,26,20,12,12,27,25,32,20,28,11,13,11,4,17,24,27,28,29,31,28,12,False
18,18,21,24,28,16,15,26,17,15,23,24,22,20,22,27,1,7,23,13,6,5,2,1,3,16,12,1,4,15,5,31,27,30,14,15,32,30,27,27,17,23,23,5,True
14,11,9,3,4,25,12,15,12,16,20,13,2,12,30,17,21,12,20,17,4,16,22,27,25,27,28,21,19,11,25,4,4,1,28,18,1,1,14,4,9,13,15,27,True
3,4,5,7,24,4,2,1,6,1,8,8,3,8,12,6,16,18,1,3,11,18,21,17,21,28,20,12,26,18,7,9,7,8,5,4,9,6,1,24,13,9,30,10,True
18,12,12,25,24,10,6,14,27,3,5,3,7,1,8,16,20,2,6,16,19,24,32,32,32,31,31,31,31,31,29,23,9,8,16,8,10,6,26,26,30,28,27,25,True
17,24,7,9,7,26,6,26,17,18,29,19,30,31,15,12,10,21,24,13,31,28,30,26,20,12,12,27,25,32,20,28,11,13,11,4,17,24,27,28,29,31,28,12,True
6,9,18,18,12,9,23,21,20,14,2,2,9,2,4,3,12,1,7,17,8,7,2,1,3,16,12,1,4,15,5,31,27,30,14,15,32,30,27,27,17,23,23,5,False
1,2,1,5,4,3,1,5,24,27,25,19,17,25,28,11,23,24,2,4,7,20,27,31,30,4,10,32,28,12,30,32,32,26,32,31,14,28,21,12,31,24,18,32,True
21,17,21,28,20,12,26,18,7,9,7,8,5,4,9,6,1,24,13,9,30,10,16,22,28,11,18,24,28,17,9,12,13,19,15,16,13,19,7,14,9,7,25,1,False
10,16,12,1,1,30,23,8,31,16,19,19,29,28,6,21,15,4,14,7,22,19,31,30,25,19,2,28,30,19,32,30,31,26,31,28,21,28,23,29,32,29,3,30,True
4,8,9,20,7,7,15,5,12,21,22,26,8,12,31,30,4,7,8,6,5,17,28,15,5,17,4,14,10,28,8,24,15,13,27,20,7,17,27,7,28,31,17,31,False
10,7,7,14,12,5,10,19,2,10,12,13,13,18,16,12,16,10,5,9,26,11,24,13,18,13,20,15,12,7,26,8,17,11,21,20,11,6,7,21,19,12,2,21,True
5,5,4,2,3,23,4,3,14,5,14,13,1,8,26,12,30,18,3,9,24,2,18,18,21,24,28,16,15,26,17,15,23,24,22,20,22,27,1,7,23,13,6,5,False
3,4,5,7,24,4,2,1,6,1,8,8,3,8,12,6,16,18,1,3,11,18,22,27,25,27,28,21,19,11,25,4,4,1,28,18,1,1,14,4,9,13,15,27,True
28,29,31,8,18,29,32,24,10,11,1,5,12,12,2,3,19,17,26,26,12,4,25,23,25,22,16,20,26,21,10,25,6,3,19,6,5,5,32,15,27,30,32,26,False
13,20,16,15,16,19,15,8,14,7,24,13,26,20,18,12,4,30,4,1,20,13,14,11,9,3,4,25,12,15,12,16,20,13,2,12,30,17,21,12,20,17,4,16,False
23,28,28,32,32,18,19,2,23,6,3,5,20,16,3,2,12,6,15,4,21,13,8,10,12,23,20,5,8,21,28,22,29,30,25,30,27,24,30,18,16,24,1,8,False
26,25,21,29,30,17,19,24,3,2,10,5,3,2,23,6,10,21,12,21,16,29,20,21,16,30,27,11,14,10,17,13,18,26,18,20,19,24,23,30,21,20,9,22,True
7,6,9,6,10,13,15,3,1,20,26,32,23,25,24,32,4,32,11,1,29,3,9,14,12,26,26,8,8,30,16,29,16,11,10,6,20,19,1,15,22,26,13,15,True
12,3,2,21,7,2,2,12,4,19,28,24,24,25,25,21,16,10,18,17,10,23,15,19,21,10,20,21,19,28,20,26,21,19,6,8,29,21,9,2,25,21,13,9,False
16,22,28,11,18,24,28,17,9,12,13,19,15,16,13,19,7,14,9,7,25,1,26,25,21,29,30,17,19,24,3,2,10,5,3,2,23,6,10,21,12,21,16,29,True
10,16,12,1,1,30,23,8,31,16,19,19,29,28,6,21,15,4,14,7,22,19,17,24,7,9,7,26,6,26,17,18,29,19,30,31,15,12,10,21,24,13,31,28,False
1,2,1,5,4,3,1,5,24,27,25,19,17,25,28,11,23,24,2,4,7,20,15,19,21,10,20,21,19,28,20,26,21,19,6,8,29,21,9,2,25,21,13,9,True
12,3,2,21,7,2,2,12,4,19,28,24,24,25,25,21,16,10,18,17,10,23,28,15,5,17,4,14,10,28,8,24,15,13,27,20,7,17,27,7,28,31,17,31,True
9,14,12,26,26,8,8,30,16,29,16,11,10,6,20,19,1,15,22,26,13,15,31,30,25,19,2,28,30,19,32,30,31,26,31,28,21,28,23,29,32,29,3,30,False
4,8,9,20,7,7,15,5,12,21,22,26,8,12,31,30,4,7,8,6,5,17,23,28,28,32,32,18,19,2,23,6,3,5,20,16,3,2,12,6,15,4,21,13,True
28,29,31,8,18,29,32,24,10,11,1,5,12,12,2,3,19,17,26,26,12,4,24,13,18,13,20,15,12,7,26,8,17,11,21,20,11,6,7,21,19,12,2,21,False
14,11,9,3,4,25,12,15,12,16,20,13,2,12,30,17,21,12,20,17,4,16,25,23,25,22,16,20,26,21,10,25,6,3,19,6,5,5,32,15,27,30,32,26,False
32,32,32,31,31,31,31,31,29,23,9,8,16,8,10,6,26,26,30,28,27,25,27,31,30,4,10,32,28,12,30,32,32,26,32,31,14,28,21,12,31,24,18,32,False
3,4,5,7,24,4,2,1,6,1,8,8,3,8,12,6,16,18,1,3,11,18,30,26,20,12,12,27,25,32,20,28,11,13,11,4,17,24,27,28,29,31,28,12,True
2,1,3,16,12,1,4,15,5,31,27,30,14,15,32,30,27,27,17,23,23,5,18,18,21,24,28,16,15,26,17,15,23,24,22,20,22,27,1,7,23,13,6,5,True
7,6,9,6,10,13,15,3,1,20,26,32,23,25,24,32,4,32,11,1,29,3,8,10,12,23,20,5,8,21,28,22,29,30,25,30,27,24,30,18,16,24,1,8,True
18,12,12,25,24,10,6,14,27,3,5,3,7,1,8,16,20,2,6,16,19,24,6,9,18,18,12,9,23,21,20,14,2,2,9,2,4,3,12,1,7,17,8,7,False
13,20,16,15,16,19,15,8,14,7,24,13,26,20,18,12,4,30,4,1,20,13,22,27,25,27,28,21,19,11,25,4,4,1,28,18,1,1,14,4,9,13,15,27,True
10,7,7,14,12,5,10,19,2,10,12,13,13,18,16,12,16,10,5,9,26,11,21,17,21,28,20,12,26,18,7,9,7,8,5,4,9,6,1,24,13,9,30,10,False
5,5,4,2,3,23,4,3,14,5,14,13,1,8,26,12,30,18,3,9,24,2,20,21,16,30,27,11,14,10,17,13,18,26,18,20,19,24,23,30,21,20,9,22,True
1,2,1,5,4,3,1,5,24,27,25,19,17,25,28,11,23,24,2,4,7,20,2,1,3,16,12,1,4,15,5,31,27,30,14,15,32,30,27,27,17,23,23,5,False
21,17,21,28,20,12,26,18,7,9,7,8,5,4,9,6,1,24,13,9,30,10,24,13,18,13,20,15,12,7,26,8,17,11,21,20,11,6,7,21,19,12,2,21,False
22,27,25,27,28,21,19,11,25,4,4,1,28,18,1,1,14,4,9,13,15,27,7,6,9,6,10,13,15,3,1,20,26,32,23,25,24,32,4,32,11,1,29,3,True
4,8,9,20,7,7,15,5,12,21,22,26,8,12,31,30,4,7,8,6,5,17,20,21,16,30,27,11,14,10,17,13,18,26,18,20,19,24,23,30,21,20,9,22,True
8,10,12,23,20,5,8,21,28,22,29,30,25,30,27,24,30,18,16,24,1,8,25,23,25,22,16,20,26,21,10,25,6,3,19,6,5,5,32,15,27,30,32,26,False
6,9,18,18,12,9,23,21,20,14,2,2,9,2,4,3,12,1,7,17,8,7,32,32,32,31,31,31,31,31,29,23,9,8,16,8,10,6,26,26,30,28,27,25,True
3,4,5,7,24,4,2,1,6,1,8,8,3,8,12,6,16,18,1,3,11,18,17,24,7,9,7,26,6,26,17,18,29,19,30,31,15,12,10,21,24,13,31,28,True
23,28,28,32,32,18,19,2,23,6,3,5,20,16,3,2,12,6,15,4,21,13,28,15,5,17,4,14,10,28,8,24,15,13,27,20,7,17,27,7,28,31,17,31,True
10,16,12,1,1,30,23,8,31,16,19,19,29,28,6,21,15,4,14,7,22,19,30,26,20,12,12,27,25,32,20,28,11,13,11,4,17,24,27,28,29,31,28,12,False
16,22,28,11,18,24,28,17,9,12,13,19,15,16,13,19,7,14,9,7,25,1,5,5,4,2,3,23,4,3,14,5,14,13,1,8,26,12,30,18,3,9,24,2,True
10,7,7,14,12,5,10,19,2,10,12,13,13,18,16,12,16,10,5,9,26,11,31,30,25,19,2,28,30,19,32,30,31,26,31,28,21,28,23,29,32,29,3,30,False
13,20,16,15,16,19,15,8,14,7,24,13,26,20,18,12,4,30,4,1,20,13,9,14,12,26,26,8,8,30,16,29,16,11,10,6,20,19,1,15,22,26,13,15,True
18,12,12,25,24,10,6,14,27,3,5,3,7,1,8,16,20,2,6,16,19,24,27,31,30,4,10,32,28,12,30,32,32,26,32,31,14,28,21,12,31,24,18,32,False
18,18,21,24,28,16,15,26,17,15,23,24,22,20,22,27,1,7,23,13,6,5,15,19,21,10,20,21,19,28,20,26,21,19,6,8,29,21,9,2,25,21,13,9,False
14,11,9,3,4,25,12,15,12,16,20,13,2,12,30,17,21,12,20,17,4,16,28,29,31,8,18,29,32,24,10,11,1,5,12,12,2,3,19,17,26,26,12,4,True
12,3,2,21,7,2,2,12,4,19,28,24,24,25,25,21,16,10,18,17,10,23,26,25,21,29,30,17,19,24,3,2,10,5,3,2,23,6,10,21,12,21,16,29,False
28,29,31,8,18,29,32,24,10,11,1,5,12,12,2,3,19,17,26,26,12,4,7,6,9,6,10,13,15,3,1,20,26,32,23,25,24,32,4,32,11,1,29,3,True
18,12,12,25,24,10,6,14,27,3,5,3,7,1,8,16,20,2,6,16,19,24,20,21,16,30,27,11,14,10,17,13,18,26,18,20,19,24,23,30,21,20,9,22,True
4,8,9,20,7,7,15,5,12,21,22,26,8,12,31,30,4,7,8,6,5,17,26,25,21,29,30,17,19,24,3,2,10,5,3,2,23,6,10,21,12,21,16,29,True
10,7,7,14,12,5,10,19,2,10,12,13,13,18,16,12,16,10,5,9,26,11,17,24,7,9,7,26,6,26,17,18,29,19,30,31,15,12,10,21,24,13,31,28,True
1,2,1,5,4,3,1,5,24,27,25,19,17,25,28,11,23,24,2,4,7,20,18,12,12,25,24,10,6,14,27,3,5,3,7,1,8,16,20,2,6,16,19,24,True
