schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail,,,,,
10/24/2010,2010,7,FALSE,CAR,23,20,SF,SF,-2.5,35.5,Bank,of,America,Stadium,FALSE,75,9,57,,,
10/24/2010,2010,7,FALSE,CHI,14,17,WAS,CHI,-3,40,Soldier,Field,FALSE,67,1,65,,,,,
10/24/2010,2010,7,FALSE,DEN,14,59,LVR,DEN,-7,43,Sports,Authority,Field,at,Mile,High,FALSE,63,9,23,
10/24/2010,2010,7,FALSE,GB,28,24,MIN,GB,-2.5,44.5,Lambeau,Field,FALSE,59,4,96,Fog,,,,
10/24/2010,2010,7,FALSE,KC,42,20,JAX,KC,-9,39,Arrowhead,Stadium,FALSE,64,1,80,,,,,
10/24/2010,2010,7,FALSE,MIA,22,23,PIT,PIT,-3,40.5,Sun,Life,Stadium,FALSE,80,1,84,Rain,|,Fog,
10/24/2010,2010,7,FALSE,NO,17,30,CLE,NO,-12.5,44,Louisiana,Superdome,FALSE,72,0,DOME,,,,,
10/24/2010,2010,7,FALSE,LAC,20,23,NE,LAC,-1.5,49.5,Qualcomm,Stadium,FALSE,69,7,68,,,,,
10/24/2010,2010,7,FALSE,SEA,22,10,ARI,SEA,-6.5,40.5,CenturyLink,Field,FALSE,52,12,Rain,,,,,
10/24/2010,2010,7,FALSE,TB,18,17,LAR,TB,-3,39,Raymond,James,Stadium,FALSE,84,9,62,,,,
10/24/2010,2010,7,FALSE,TEN,37,19,PHI,TEN,-3,42,Nissan,Stadium,FALSE,78,2,39,,,,,
10/25/2010,2010,7,FALSE,DAL,35,41,NYG,DAL,-3.5,45.5,Cowboys,Stadium,FALSE,86,2,,,,,,
10/31/2010,2010,8,FALSE,ARI,35,38,TB,ARI,-3,38,University,of,Phoenix,Stadium,FALSE,72,0,DOME,,,
10/31/2010,2010,8,FALSE,CIN,14,22,MIA,CIN,-1,44,Paul,Brown,Stadium,FALSE,54,1,57,,,,
10/31/2010,2010,8,FALSE,DAL,17,35,JAX,DAL,-6.5,44,Cowboys,Stadium,FALSE,72,0,DOME,,,,,
10/31/2010,2010,8,FALSE,DET,37,25,WAS,DET,-3,45,Ford,Field,FALSE,72,0,DOME,,,,,
